Airport,Timezone
TYS,America/New_York
MEM,America/Chicago
BNA,America/Chicago
AUS,America/Chicago
DFW,America/Chicago
ELP,America/Denver
IAH,America/Chicago
MFE,America/Chicago
MAF,America/Chicago
SAT,America/Chicago
STT,America/Chicago
SLC,America/Denver
BTV,America/New_York
PHF,America/New_York
ORF,America/New_York
RIC,America/New_York
DCA,America/New_York
IAD,America/New_York
PAE,America/Los_Angeles
SEA,America/Los_Angeles
GEG,America/Los_Angeles
MSN,America/Chicago
MKE,America/Chicago
JAC,America/Denver
MVD,America/Montevideo
CCS,America/Caracas
SGN,Asia/Ho_Chi_Minh
LWN,Asia/Yerevan
EVN,Asia/Yerevan
GRZ,Europe/Vienna
KLU,Europe/Vienna
LNZ,Europe/Vienna
SZG,Europe/Vienna
VIE,Europe/Vienna
CRL,Europe/Brussels
OST,Europe/Brussels
BNX,Europe/Sarajevo
BOJ,Europe/Sofia
PDV,Europe/Sofia
SOF,Europe/Sofia
VAR,Europe/Sofia
OSI,Europe/Zagreb
PUY,Europe/Zagreb
RJK,Europe/Zagreb
SPU,Europe/Zagreb
ZAD,Europe/Zagreb
ZAG,Europe/Zagreb
LCA,Asia/Nicosia
PFO,Asia/Nicosia
BRQ,Europe/Prague
OSR,Europe/Prague
PED,Europe/Prague
AAL,Europe/Copenhagen
AAR,Europe/Copenhagen
BLL,Europe/Copenhagen
EBJ,Europe/Copenhagen
TLL,Europe/Tallinn
HEL,Europe/Helsinki
LPP,Europe/Helsinki
RVN,Europe/Helsinki
TMP,Europe/Helsinki
TKU,Europe/Helsinki
ANG,Europe/Paris
EGC,Europe/Paris
BZR,Europe/Paris
BIQ,Europe/Paris
BOD,Europe/Paris
BES,Europe/Paris
BVE,Europe/Paris
CCF,Europe/Paris
XCR,Europe/Paris
CFE,Europe/Paris
DOL,Europe/Paris
DLE,Europe/Paris
FSC,Europe/Paris
GNB,Europe/Paris
LRH,Europe/Paris
LIL,Europe/Paris
LIG,Europe/Paris
LRT,Europe/Paris
LDE,Europe/Paris
LYS,Europe/Paris
MRS,Europe/Paris
MPL,Europe/Paris
NTE,Europe/Paris
FNI,Europe/Paris
PUF,Europe/Paris
PGF,Europe/Paris
PIS,Europe/Paris
RDZ,Europe/Paris
EBU,Europe/Paris
DNR,Europe/Paris
SXB,Europe/Paris
BVA,Europe/Paris
TLN,Europe/Paris
TLS,Europe/Paris
TUF,Europe/Paris
KUT,Asia/Tbilisi
TBS,Asia/Tbilisi
SXF,Europe/Berlin
BRE,Europe/Berlin
CGN,Europe/Berlin
DTM,Europe/Berlin
DRS,Europe/Berlin
NRN,Europe/Berlin
ERF,Europe/Berlin
HHN,Europe/Berlin
FDH,Europe/Berlin
LBC,Europe/Berlin
HAJ,Europe/Berlin
FKB,Europe/Berlin
AOC,Europe/Berlin
LEJ,Europe/Berlin
CSO,Europe/Berlin
FMM,Europe/Berlin
FMO,Europe/Berlin
NUE,Europe/Berlin
PAD,Europe/Berlin
ZQW,Europe/Berlin
CHQ,Europe/Athens
CFU,Europe/Athens
HER,Europe/Athens
KLX,Europe/Athens
KVA,Europe/Athens
EFL,Europe/Athens
KGS,Europe/Athens
JMK,Europe/Athens
GPA,Europe/Athens
PVK,Europe/Athens
RHO,Europe/Athens
JTR,Europe/Athens
JSI,Europe/Athens
SKG,Europe/Athens
VOL,Europe/Athens
ZTH,Europe/Athens
SOB,Europe/Budapest
BUD,Europe/Budapest
ORK,Europe/Dublin
GWY,Europe/Dublin
KIR,Europe/Dublin
NOC,Europe/Dublin
WAT,Europe/Dublin
ETM,Asia/Jerusalem
VDA,Asia/Jerusalem
AHO,Europe/Rome
AOI,Europe/Rome
BRI,Europe/Rome
BLQ,Europe/Rome
VBS,Europe/Rome
BDS,Europe/Rome
CAG,Europe/Rome
CTA,Europe/Rome
CIY,Europe/Rome
CRV,Europe/Rome
CUF,Europe/Rome
FRL,Europe/Rome
GOA,Europe/Rome
SUF,Europe/Rome
BGY,Europe/Rome
OLB,Europe/Rome
PMO,Europe/Rome
PMF,Europe/Rome
PEG,Europe/Rome
PSR,Europe/Rome
PSA,Europe/Rome
RMI,Europe/Rome
CIA,Europe/Rome
TPS,Europe/Rome
TRS,Europe/Rome
TRN,Europe/Rome
TSF,Europe/Rome
VRN,Europe/Rome
AQJ,Asia/Amman
RIX,Europe/Riga
BEY,Asia/Beirut
KUN,Europe/Vilnius
PLQ,Europe/Vilnius
VNO,Europe/Vilnius
LUX,Europe/Luxembourg
MLA,Europe/Malta
TGD,Europe/Podgorica
AGA,Africa/Casablanca
CMN,Africa/Casablanca
ESU,Africa/Casablanca
FEZ,Africa/Casablanca
RAK,Africa/Casablanca
NDR,Africa/Casablanca
OZZ,Africa/Casablanca
OUD,Africa/Casablanca
